PR.BCTDC:CYCLE_INTENSITY,nxcals_timestamp,nxcals_variable_name,nxcals_timestamp2
147,1668770989900000000,PR.BCTDC:CYCLE_INTENSITY,1668770992300000000
148,1668771043900000000,PR.BCTDC:CYCLE_INTENSITY,1668771046300000000
149,1668771097900000000,PR.BCTDC:CYCLE_INTENSITY,1668771100300000000
150,1668771151900000000,PR.BCTDC:CYCLE_INTENSITY,1668771154300000000
151,1668771205900000000,PR.BCTDC:CYCLE_INTENSITY,1668771208300000000
152,1668771259900000000,PR.BCTDC:CYCLE_INTENSITY,1668771262300000000
153,1668771313900000000,PR.BCTDC:CYCLE_INTENSITY,1668771316300000000
154,1668771367900000000,PR.BCTDC:CYCLE_INTENSITY,1668771370300000000
155,1668771432700000000,PR.BCTDC:CYCLE_INTENSITY,1668771435100000000
156,1668771497500000000,PR.BCTDC:CYCLE_INTENSITY,1668771499900000000
157,1668771562300000000,PR.BCTDC:CYCLE_INTENSITY,1668771564700000000
158,1668771627100000000,PR.BCTDC:CYCLE_INTENSITY,1668771629500000000
159,1668771691900000000,PR.BCTDC:CYCLE_INTENSITY,1668771694300000000
160,1668771756700000000,PR.BCTDC:CYCLE_INTENSITY,1668771759100000000
161,1668771821500000000,PR.BCTDC:CYCLE_INTENSITY,1668771823900000000
162,1668771886300000000,PR.BCTDC:CYCLE_INTENSITY,1668771888700000000
163,1668771951100000000,PR.BCTDC:CYCLE_INTENSITY,1668771953500000000
164,1668772015900000000,PR.BCTDC:CYCLE_INTENSITY,1668772018300000000
165,1668772080700000000,PR.BCTDC:CYCLE_INTENSITY,1668772083100000000
166,1668772145500000000,PR.BCTDC:CYCLE_INTENSITY,1668772147900000000
167,1668772210300000000,PR.BCTDC:CYCLE_INTENSITY,1668772212700000000
168,1668772275100000000,PR.BCTDC:CYCLE_INTENSITY,1668772277500000000
169,1668772887100000000,PR.BCTDC:CYCLE_INTENSITY,1668772889500000000
170,1668772951900000000,PR.BCTDC:CYCLE_INTENSITY,1668772954300000000
171,1668773016700000000,PR.BCTDC:CYCLE_INTENSITY,1668773019100000000
172,1668773081500000000,PR.BCTDC:CYCLE_INTENSITY,1668773083900000000
173,1668773146300000000,PR.BCTDC:CYCLE_INTENSITY,1668773148700000000
174,1668773211100000000,PR.BCTDC:CYCLE_INTENSITY,1668773213500000000
175,1668773275900000000,PR.BCTDC:CYCLE_INTENSITY,1668773278300000000
176,1668773340700000000,PR.BCTDC:CYCLE_INTENSITY,1668773343100000000
177,1668773405500000000,PR.BCTDC:CYCLE_INTENSITY,1668773407900000000
178,1668773470300000000,PR.BCTDC:CYCLE_INTENSITY,1668773472700000000
179,1668773535100000000,PR.BCTDC:CYCLE_INTENSITY,1668773537500000000
180,1668774820300000000,PR.BCTDC:CYCLE_INTENSITY,1668774822700000000
181,1668774874300000000,PR.BCTDC:CYCLE_INTENSITY,1668774876700000000
182,1668774928300000000,PR.BCTDC:CYCLE_INTENSITY,1668774930700000000
183,1668774982300000000,PR.BCTDC:CYCLE_INTENSITY,1668774984700000000
184,1668775036300000000,PR.BCTDC:CYCLE_INTENSITY,1668775038700000000
185,1668775090300000000,PR.BCTDC:CYCLE_INTENSITY,1668775092700000000
186,1668775144300000000,PR.BCTDC:CYCLE_INTENSITY,1668775146700000000
187,1668775198300000000,PR.BCTDC:CYCLE_INTENSITY,1668775200700000000
188,1668775252300000000,PR.BCTDC:CYCLE_INTENSITY,1668775254700000000
189,1668775306300000000,PR.BCTDC:CYCLE_INTENSITY,1668775308700000000
190,1668775360300000000,PR.BCTDC:CYCLE_INTENSITY,1668775362700000000
191,1668775414300000000,PR.BCTDC:CYCLE_INTENSITY,1668775416700000000
192,1668775468300000000,PR.BCTDC:CYCLE_INTENSITY,1668775470700000000
193,1668775522300000000,PR.BCTDC:CYCLE_INTENSITY,1668775524700000000
194,1668775576300000000,PR.BCTDC:CYCLE_INTENSITY,1668775578700000000
195,1668775630300000000,PR.BCTDC:CYCLE_INTENSITY,1668775632700000000
196,1668775684300000000,PR.BCTDC:CYCLE_INTENSITY,1668775686700000000
197,1668775738300000000,PR.BCTDC:CYCLE_INTENSITY,1668775740700000000
198,1668775792300000000,PR.BCTDC:CYCLE_INTENSITY,1668775794700000000
199,1668775846300000000,PR.BCTDC:CYCLE_INTENSITY,1668775848700000000
200,1668775900300000000,PR.BCTDC:CYCLE_INTENSITY,1668775902700000000
201,1668775954300000000,PR.BCTDC:CYCLE_INTENSITY,1668775956700000000
202,1668776008300000000,PR.BCTDC:CYCLE_INTENSITY,1668776010700000000
203,1668776062300000000,PR.BCTDC:CYCLE_INTENSITY,1668776064700000000
204,1668776116300000000,PR.BCTDC:CYCLE_INTENSITY,1668776118700000000
205,1668776170300000000,PR.BCTDC:CYCLE_INTENSITY,1668776172700000000
206,1668776224300000000,PR.BCTDC:CYCLE_INTENSITY,1668776226700000000
207,1668776278300000000,PR.BCTDC:CYCLE_INTENSITY,1668776280700000000
208,1668776332300000000,PR.BCTDC:CYCLE_INTENSITY,1668776334700000000
209,1668776386300000000,PR.BCTDC:CYCLE_INTENSITY,1668776388700000000
210,1668776440300000000,PR.BCTDC:CYCLE_INTENSITY,1668776442700000000
211,1668776494300000000,PR.BCTDC:CYCLE_INTENSITY,1668776496700000000
212,1668776548300000000,PR.BCTDC:CYCLE_INTENSITY,1668776550700000000
213,1668776602300000000,PR.BCTDC:CYCLE_INTENSITY,1668776604700000000
214,1668776656300000000,PR.BCTDC:CYCLE_INTENSITY,1668776658700000000
215,1668776710300000000,PR.BCTDC:CYCLE_INTENSITY,1668776712700000000
216,1668776764300000000,PR.BCTDC:CYCLE_INTENSITY,1668776766700000000
217,1668776818300000000,PR.BCTDC:CYCLE_INTENSITY,1668776820700000000
218,1668776872300000000,PR.BCTDC:CYCLE_INTENSITY,1668776874700000000
219,1668776926300000000,PR.BCTDC:CYCLE_INTENSITY,1668776928700000000
220,1668776980300000000,PR.BCTDC:CYCLE_INTENSITY,1668776982700000000
221,1668777034300000000,PR.BCTDC:CYCLE_INTENSITY,1668777036700000000
222,1668777088300000000,PR.BCTDC:CYCLE_INTENSITY,1668777090700000000
223,1668777142300000000,PR.BCTDC:CYCLE_INTENSITY,1668777144700000000
224,1668777196300000000,PR.BCTDC:CYCLE_INTENSITY,1668777198700000000
225,1668777250300000000,PR.BCTDC:CYCLE_INTENSITY,1668777252700000000
226,1668777304300000000,PR.BCTDC:CYCLE_INTENSITY,1668777306700000000
227,1668777358300000000,PR.BCTDC:CYCLE_INTENSITY,1668777360700000000
228,1668777412300000000,PR.BCTDC:CYCLE_INTENSITY,1668777414700000000
229,1668777466300000000,PR.BCTDC:CYCLE_INTENSITY,1668777468700000000
