,0,1
104,2.3934484,1.5460786
105,2.5278633,1.6327977
106,2.6368816,1.7040313
107,2.6882937,1.738719
108,2.693249,1.7430549
109,2.640598,1.7182779
110,2.5588343,1.666866
111,2.436808,1.5956323
112,2.28443,1.5120103
113,2.1147084,1.4054697
114,1.9140155,1.2890183
115,1.7034119,1.1607978
116,1.4841363,1.014614
117,1.2468975,0.87338567
118,1.0108975,0.72534376
119,0.7761364,0.58225715
120,0.5587191,0.44784245
121,0.35183197,0.31218892
122,0.15237793,0.18025194
123,-0.021060364,0.071233585
124,-0.15175852,-0.013007873
125,-0.2812178,-0.10777952
126,-0.38342252,-0.18892387
127,-0.48129126,-0.26325455
128,-0.5562414,-0.32209972
129,-0.60951173,-0.36050388
130,-0.64791596,-0.39643037
131,-0.66030437,-0.41501307
132,-0.6572073,-0.42244616
133,-0.6367663,-0.42306557
134,-0.6051758,-0.4020052
135,-0.559958,-0.37722832
136,-0.5029711,-0.347496
137,-0.4459842,-0.30909184
138,-0.38032544,-0.26325455
139,-0.31218892,-0.22423093
140,-0.2397165,-0.17529656
141,-0.16414696,-0.13255641
142,-0.07556954,-0.07247244
143,0.014246717,-0.012388449
144,0.10158529,0.03220997
145,0.17591599,0.068755895
146,0.23538056,0.11645143
147,0.29360628,0.15175852
148,0.34811544,0.18582675
149,0.3859002,0.21370076
150,0.41501307,0.23909709
151,0.44288707,0.2582992
152,0.45837265,0.27378476
153,0.47199994,0.28555375
154,0.47757477,0.2942257
155,0.4689028,0.29856163
156,0.45341727,0.2973228
157,0.44350654,0.29794222
158,0.4131548,0.2923674
159,0.38218367,0.27502358
160,0.35183197,0.25706032
161,0.3332493,0.25520208
162,0.3245774,0.25953802
163,0.29546452,0.24900785
164,0.27130705,0.21803671
165,0.23785825,0.20502885
166,0.20750654,0.19140156
167,0.18025194,0.18272963
168,0.15485562,0.16352753
169,0.12636219,0.14928082
170,0.10716009,0.13751179
171,0.09167453,0.13317584
172,0.068136476,0.12078739
173,0.059464563,0.10716009
174,0.04707611,0.10282414
175,0.033448815,0.09601049
176,0.030971127,0.08176377
177,0.015485563,0.07556954
178,0.013007873,0.05884514
179,0.008671915,0.05141207
180,0.016104985,0.054509178
181,0.039023615,0.06689763
182,0.058225714,0.063181095
183,0.066278204,0.063181095
184,0.07680839,0.061942253
185,0.087338574,0.06008398
186,0.09105511,0.060703404
187,0.10654067,0.065658785
188,0.117070846,0.06937532
189,0.12512334,0.06751705
190,0.13875064,0.073711276
191,0.14370602,0.07866666
192,0.15919158,0.07928608
193,0.15361679,0.071233585
194,0.1622887,0.07742781
195,0.16414696,0.08300262
196,0.15795274,0.07309185
197,0.16352753,0.07185301
198,0.16910236,0.07247244
199,0.17529656,0.08919684
200,0.18582675,0.092913374
201,0.19140156,0.09415222
202,0.1951181,0.090435684
203,0.18644617,0.09105511
204,0.1814908,0.09167453
205,0.17281888,0.08919684
206,0.16972177,0.092913374
207,0.15361679,0.09415222
208,0.15299736,0.095391065
209,0.14494488,0.09415222
210,0.1350341,0.089816265
211,0.12760104,0.08548031
212,0.11335432,0.08300262
213,0.10406298,0.08362204
214,0.08424146,0.08424146
215,0.07680839,0.08300262
216,0.06008398,0.0799055
217,0.065658785,0.08857741
218,0.068755895,0.09105511
219,0.07742781,0.09972702
220,0.08052493,0.09662991
221,0.08300262,0.09105511
222,0.07556954,0.095391065
223,0.07556954,0.08919684
224,0.08052493,0.08857741
225,0.07804723,0.08424146
226,0.08238319,0.089816265
227,0.07866666,0.09601049
228,0.090435684,0.100346446
229,0.092293955,0.103443556
230,0.09972702,0.1046824
231,0.09415222,0.10406298
232,0.09167453,0.10716009
233,0.09105511,0.1046824
234,0.08052493,0.09415222
235,0.087338574,0.089816265
236,0.09167453,0.092913374
237,0.11149605,0.1102572
238,0.12326507,0.11149605
239,0.11769028,0.10963778
240,0.12264566,0.09848818
241,0.112115465,0.09848818
242,0.11459316,0.09167453
243,0.1102572,0.08609972
244,0.10839894,0.08919684
245,0.109018356,0.092913374
246,0.11149605,0.089816265
247,0.1127349,0.09415222
248,0.110876635,0.09601049
249,0.11645143,0.08857741
250,0.09910759,0.0935328
251,0.10158529,0.09601049
252,0.0935328,0.09601049
253,0.08919684,0.0935328
254,0.08795799,0.08919684
255,0.09105511,0.10282414
256,0.11459316,0.11769028
257,0.12388451,0.11769028
258,0.12512334,0.1102572
259,0.12388451,0.10839894
260,0.12326507,0.10158529
261,0.11645143,0.09724933
262,0.117070846,0.09415222
263,0.1183097,0.09601049
264,0.1183097,0.10220471
265,4.5471807,4.5546136
266,6.2623615,6.2654586
267,6.826036,6.835327
268,7.0087657,7.0211544
269,7.0676103,7.079999
270,7.0855737,7.1004395
271,7.0874324,7.107873
272,7.086813,7.1016793
273,7.078141,7.097343
274,7.0998206,7.1134477
275,7.1146865,7.1345086
276,7.126456,7.124598
277,7.1295533,7.1215005
278,7.1357474,7.1146865
279,7.137605,7.1146865
280,7.139464,7.106015
281,7.1363664,7.1022987
282,7.1388445,7.0979624
283,7.145658,7.0961046
284,7.1407027,7.0923877
285,7.141941,7.0899096
286,7.1425605,7.0874324
287,7.144419,7.0899096
288,7.145658,7.0899096
289,7.144419,7.088052
290,7.131411,7.0899096
291,7.131411,7.079999
292,7.126456,7.0738053
293,7.1295533,7.088052
294,7.1363664,7.0998206
295,7.141322,7.0923877
296,7.137605,7.0793796
297,7.130792,7.0830965
298,7.1233587,7.0750437
299,7.1128287,7.077522
300,7.1022987,7.0657525
301,7.0899096,7.077522
302,7.0849543,7.0738053
303,7.086813,7.079999
304,7.0738053,7.090529
305,7.079999,7.0849543
306,7.071946,7.0961046
307,7.060797,7.097343
308,7.0570803,7.103537
309,7.0465503,7.094246
310,7.0446925,7.10106
311,7.0446925,7.0948653
312,7.0409756,7.106015
313,7.055842,7.1153064
314,7.0595584,7.110351
315,7.0638943,7.11159
316,7.049648,7.1041565
317,7.0515056,7.1016793
318,7.0422144,7.090529
319,7.041595,7.0818577
320,7.032304,7.078141
321,7.0316844,7.078141
322,7.0316844,7.0843353
323,7.0316844,7.086813
324,7.026729,7.0793796
325,7.021774,7.073186
326,7.0155787,7.0738053
327,7.016818,7.0688496
328,7.012482,7.069469
329,7.0069075,7.0527444
