,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
22,-0.035926506,-0.024157478,-0.030971127,-0.05388976,-0.016724408,0.03468766,-0.026015745,-0.06503936,-0.033448815,-0.04150131,-0.032829393,-0.039023615,-0.043978997,-0.03964304,-0.03964304,-0.029112857,-0.034068238,-0.039023615,0.03964304,-0.025396323,-0.03468766,-0.034068238,-0.03468766
23,-0.038404197,-0.021679787,-0.030351702,-0.04459842,-0.016104985,0.04150131,-0.026015745,-0.06689763,-0.035926506,-0.040881883,-0.035307083,-0.032829393,-0.046456687,-0.038404197,-0.045837265,-0.032829393,-0.030971127,-0.03778477,0.04150131,-0.027874013,-0.035307083,-0.029112857,-0.03778477
24,-0.034068238,-0.021679787,-0.032829393,-0.036545925,-0.014246717,0.04150131,-0.027254589,-0.068136476,-0.033448815,-0.045217842,-0.035926506,-0.03220997,-0.049553797,-0.032829393,-0.040881883,-0.032829393,-0.031590547,-0.035307083,0.03778477,-0.019202098,-0.03716535,-0.032829393,-0.03716535
25,-0.030351702,-0.024157478,-0.031590547,-0.042740155,-0.013627294,0.04459842,-0.027254589,-0.06256167,-0.035307083,-0.043978997,-0.04150131,-0.025396323,-0.04707611,-0.029112857,-0.043359574,-0.030351702,-0.03468766,-0.03716535,0.040881883,-0.02229921,-0.040881883,-0.027254589,-0.036545925
26,-0.035926506,-0.023538055,-0.034068238,-0.03964304,-0.016104985,0.048934378,-0.029112857,-0.06503936,-0.034068238,-0.043359574,-0.03964304,-0.029732281,-0.048934378,-0.027874013,-0.045837265,-0.03468766,-0.030351702,-0.03778477,0.043978997,-0.017963253,-0.038404197,-0.029112857,-0.03778477
27,-0.030971127,-0.024157478,-0.03964304,-0.03778477,-0.014246717,0.05203149,-0.029732281,-0.060703404,-0.027874013,-0.040262464,-0.04150131,-0.029112857,-0.048934378,-0.030351702,-0.048314955,-0.035307083,-0.027874013,-0.038404197,0.043359574,-0.018582676,-0.039023615,-0.030351702,-0.04150131
28,-0.028493434,-0.027254589,-0.04212073,-0.028493434,-0.00991076,0.059464563,-0.031590547,-0.058225714,-0.031590547,-0.035307083,-0.039023615,-0.021060364,-0.048934378,-0.026635168,-0.040262464,-0.025396323,-0.030351702,-0.031590547,0.040881883,-0.013627294,-0.03468766,-0.022918632,-0.040881883
29,-0.025396323,-0.027254589,-0.040262464,-0.025396323,-0.0074330703,0.059464563,-0.027874013,-0.05884514,-0.027254589,-0.035926506,-0.036545925,-0.026015745,-0.048934378,-0.024776898,-0.035926506,-0.023538055,-0.027874013,-0.030971127,0.040881883,-0.017963253,-0.038404197,-0.024157478,-0.040262464
30,-0.027254589,-0.027874013,-0.043359574,-0.026635168,-0.0061942246,0.058225714,-0.027254589,-0.050173223,-0.024776898,-0.029732281,-0.035307083,-0.024776898,-0.050173223,-0.024776898,-0.032829393,-0.021679787,-0.025396323,-0.029732281,0.038404197,-0.010530182,-0.033448815,-0.029112857,-0.040262464
31,-0.029732281,-0.027254589,-0.04212073,-0.02229921,-0.0074330703,0.05884514,-0.026015745,-0.050792646,-0.022918632,-0.029732281,-0.033448815,-0.020440942,-0.048934378,-0.026015745,-0.030351702,-0.019202098,-0.02229921,-0.025396323,0.04212073,-0.013627294,-0.035307083,-0.026015745,-0.045837265
